Авторы,Название,Цена,"Год издания",Изображение,"Стоимость доставки"
"Гриффитс Дуэйн, Гриффитс Доун","Изучаем программирование на C","1 229 руб.",2019,https://cdn.book24.ru/v2/ITD000000000216786/COVER/cover1.jpg,"От 100 руб."
"Patrick Niemeyer, Daniel Leuck","Программирование на Java","1 608 руб.",2014,https://cdn.book24.ru/v2/ITD000000000311580/COVER/cover1.jpg,"От 100 руб."
"Крамер Джен","Joomla! Как спланировать, создать и поддерживать ваш веб-сайт","432 руб.",2011,https://ndc.book24.ru/iblock/adf/adf1e2a4a32a520ce99a91c9807dad62/38ba1bf4d3969ed2d810880805a5d684.jpg,"От 100 руб."
"Сьерра Кэти, Бэйтс Берт","Изучаем Java","1 284 руб.",2020,https://cdn.book24.ru/v2/ITD000000000185236/COVER/cover1.jpg,"От 100 руб."
"Пауэрс Дэвидв","PHP. Создание динамических страниц","781 руб.",2012,https://ndc.book24.ru/iblock/a93/a93a50d23bfc0ffe976f8f240dfcf9b0/67c981a0c38da431ed1031aa305e4488.jpg,"От 100 руб."
"МакГрат Майк","Программирование на Python для начинающих","450 руб.",2019,https://cdn.book24.ru/v2/ITD000000000619651/COVER/cover1.jpg,"От 100 руб."
"Стивенс Род","Алгоритмы. Теория и практическое применение","816 руб.",2019,https://cdn.book24.ru/v2/ITD000000000621852/COVER/cover1.jpg,"От 100 руб."
"Макфарланд Дэвид","JavaScript и jQuery. Исчерпывающее руководство. 3-е издание","1 057 руб.",2017,https://cdn.book24.ru/v2/ITD000000000597254/COVER/cover1.jpg,"От 100 руб."
"Доусон М","Изучаем C++ через программирование игр","753 руб.",2016,https://cdn.book24.ru/v2/ITD000000000805335/COVER/cover1.jpg,"От 100 руб."
"Васильев Алексей Николаевич","Программирование на C++ в примерах и задачах","487 руб.",2019,https://cdn.book24.ru/v2/ITD000000000804008/COVER/cover1.jpg,"От 100 руб."
"Васильев Алексей Николаевич","Программирование на C в примерах и задачах","622 руб.",2019,https://cdn.book24.ru/v2/ITD000000000801902/COVER/cover1.jpg,"От 100 руб."
"Дакетт Джон","Javascript и jQuery. Интерактивная веб-разработка","1 445 руб.",2019,https://cdn.book24.ru/v2/ITD000000000607207/COVER/cover1.jpg,"От 100 руб."
"Круг Стив","Не заставляйте меня думать. Веб-юзабилити и здравый смысл. 3-е издание","582 руб.",2019,https://cdn.book24.ru/v2/ITD000000000826441/COVER/cover1.jpg,"От 100 руб."
"МакГрат Майк","Программирование на Visual Basic для начинающих","408 руб.",2017,https://cdn.book24.ru/v2/ITD000000000616190/COVER/cover1.jpg,"От 100 руб."
"Васильев Алексей Николаевич","Программирование на Java для начинающих","734 руб.",2019,https://cdn.book24.ru/v2/ITD000000000813463/COVER/cover1.jpg,"От 100 руб."
"Шоу Зед","Легкий способ выучить Python","538 руб.",2019,https://cdn.book24.ru/v2/ITD000000000851863/COVER/cover1.jpg,"От 100 руб."
"МакГрат Майк","PHP7 для начинающих","450 руб.",2019,https://cdn.book24.ru/v2/ITD000000000869526/COVER/cover1.jpg,"От 100 руб."
"Васильев Алексей Николаевич","JavaScript в примерах и задачах","661 руб.",2019,https://cdn.book24.ru/v2/ITD000000000849160/COVER/cover1.jpg,"От 100 руб."
"Бэрри Пол","Изучаем программирование на Python","1 230 руб.",2020,https://cdn.book24.ru/v2/ITD000000000869527/COVER/cover1.jpg,"От 100 руб."
"Кен Швайбер, Джеф Сазерленд","Софт за 30 дней. Как Scrum делает невозможное возможным","1 083 руб.",2017,https://cdn.book24.ru/v2/MIF00014495/COVER/cover1.jpg,"От 100 руб."
"Эндрю Стеллман и Дженнифер Грин","Постигая Agile. Ценности, принципы, методологии","1 381 руб.",2019,https://cdn.book24.ru/v2/MIF00014406/COVER/cover1.jpg,"От 100 руб."
"Спрол Антон","Думай как программист. Креативный подход к созданию кода. C++ версия","522 руб.",2018,https://cdn.book24.ru/v2/ITD000000000884069/COVER/cover1.jpg,"От 100 руб."
"Альтхофф Кори","Сам себе программист. Как научиться программировать и устроиться в Ebay?","513 руб.",2019,https://cdn.book24.ru/v2/ITD000000000890878/COVER/cover1.jpg,"От 100 руб."
"Васильев Алексей Николаевич","Программирование на C# для начинающих. Основные сведения","746 руб.",2020,https://cdn.book24.ru/v2/ITD000000000898617/COVER/cover1.jpg,"От 100 руб."
"Сауджани Решма","Программируй! Самоучитель для девочек","473 руб.",2018,https://cdn.book24.ru/v2/ITD000000000901571/COVER/cover1.jpg,"От 100 руб."
"Васильев Алексей Николаевич","Программирование на C# для начинающих. Особенности языка","707 руб.",2019,https://cdn.book24.ru/v2/ITD000000000898623/COVER/cover1.jpg,"От 100 руб."
"Гриффин Терри","Искусство программирования в LEGO MINDSTORMS EV3","1 366 руб.",,https://cdn.book24.ru/cdn2014/no_pic_book24.jpg,"От 100 руб."
"Леонгард Герд","Технологии против человека","406 руб.",2018,https://cdn.book24.ru/v2/ASE000000000837785/COVER/cover1.jpg,"От 100 руб."
"Геддес Марк","25 крутых проектов с Arduino","652 руб.",2018,https://cdn.book24.ru/v2/ITD000000000886854/COVER/cover1.jpg,"От 100 руб."
"Пейн Брайсон","Легкий способ выучить Java","693 руб.",2020,https://cdn.book24.ru/v2/ITD000000000903061/COVER/cover1.jpg,"От 100 руб."
"Макеффри Митч","Unreal Engine VR для разработчиков","769 руб.",2019,https://cdn.book24.ru/v2/ITD000000000956302/COVER/cover1.jpg,"От 100 руб."
,"Искусственный интеллект","392 руб.",2019,https://cdn.book24.ru/v2/ASE000000000843962/COVER/cover1.jpg,"От 100 руб."
"Фанк Д.","Перл и Паскаль учатся программировать 5799 СКХ","377 руб.",2019,https://cdn.book24.ru/v2/ITD000000000993449/COVER/cover1.jpg,"От 100 руб."
"Уэйнрайт М.","Программируем на Scratch. Приключения в джунглях 5836 СКХ","319 руб.",2019,https://cdn.book24.ru/v2/ITD000000000993479/COVER/cover1.jpg,"От 100 руб."
"Уэйнрайт М.","Программируем на Scratch. Приключения в космосе 6024 СКХ","319 руб.",2019,https://cdn.book24.ru/v2/ITD000000000993478/COVER/cover1.jpg,"От 100 руб."
"Спиро Р.","Малыш любит науку. Программирование/Спиро Р.","478 руб.",2019,https://cdn.book24.ru/v2/ITD000000001061251/COVER/cover1.jpg,"От 100 руб."
"Седжвик Р","Computer Science: основы программирования на Java, ООП, алгоритмы и структуры данных","2 284 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917967/COVER/cover1.jpg,"От 100 руб."
,"Хакинг: искусство эксплойта. 2-е изд.","1 468 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917950/COVER/cover1.jpg,"От 100 руб."
"Иванов О А","Дискретная математика. Учебник для вузов и программирование в Wolfram Mathematica","830 руб.",2019,https://cdn.book24.ru/v2/ITD000000000956193/COVER/cover1.jpg,"От 100 руб."
"Форд Н","Эволюционная архитектура. Поддержка непрерывных изменений","892 руб.",2018,https://cdn.book24.ru/v2/ITD000000000947537/COVER/cover1.jpg,"От 100 руб."
"Ричардсон К","Микросервисы. Паттерны разработки и рефакторинга","1 757 руб.",2019,https://cdn.book24.ru/v2/ITD000000001051764/COVER/cover1.jpg,"От 100 руб."
"Кун Р","Реактивные шаблоны проектирования","1 181 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917958/COVER/cover1.jpg,"От 100 руб."
"Гифт Н.","Прагматичный ИИ. Машинное обучение и облачные технологии","1 393 руб.",2019,https://cdn.book24.ru/v2/ITD000000000956668/COVER/cover1.jpg,"От 100 руб."
"Большаков В П","Твердотельное моделирование сборочных единиц в СAD-системах. Учебное пособие для вузов","1 365 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917973/COVER/cover1.jpg,"От 100 руб."
"Шварц  Б","MySQL по максимуму. 3-е издание оптимизация, резервное копирование, репликация","1 914 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917945/COVER/cover1.jpg,"От 100 руб."
